site,quarry,facies,species,n
HF,1901.1,swamp,BE,76
HF,1901.1,swamp,BI,51
HF,1901.1,swamp,RM,268
HF,1901.1,swamp,RO,34
HF,1901.2,swamp,BI,7
HF,1901.2,swamp,HF1,1
HF,1901.2,swamp,HF2,205
HF,1901.2,swamp,HF3,12
HF,1901.2,swamp,RM,239
HF,1901.2,swamp,RO,3
HF,1901.3,swamp,BI,35
HF,1901.3,swamp,HF2,60
HF,1901.3,swamp,HF3,16
HF,1901.3,swamp,HF4,2
HF,1901.3,swamp,HF5,1
HF,1901.3,swamp,RM,307
HF,1901.3,swamp,RO,1
HF,1902.1,small_trib,BE,27
HF,1902.1,small_trib,BI,22
HF,1902.1,small_trib,HF3,4
HF,1902.1,small_trib,HF6,2
HF,1902.1,small_trib,HF8,5
HF,1902.1,small_trib,HF9,8
HF,1902.1,small_trib,LTA,2
HF,1902.1,small_trib,RM,172
HF,1902.1,small_trib,RO,135
HF,1902.1,small_trib,SU,23
HF,1902.2,small_trib,BE,13
HF,1902.2,small_trib,BI,9
HF,1902.2,small_trib,HF3,3
HF,1902.2,small_trib,HF6,1
HF,1902.2,small_trib,HF8,3
HF,1902.2,small_trib,HF9,8
HF,1902.2,small_trib,RM,168
HF,1902.2,small_trib,RO,163
HF,1902.2,small_trib,SU,4
HF,1902.3,small_trib,BE,8
HF,1902.3,small_trib,BI,77
HF,1902.3,small_trib,HF9,8
HF,1902.3,small_trib,RM,237
HF,1902.3,small_trib,RO,105
HF,1903.1,dynamic_river,BI,94
HF,1903.1,dynamic_river,HF14,1
HF,1903.1,dynamic_river,HF15,1
HF,1903.1,dynamic_river,HF8,7
HF,1903.1,dynamic_river,HF9,3
HF,1903.1,dynamic_river,RM,311
HF,1903.1,dynamic_river,RO,4
HF,1903.1,dynamic_river,SU,24
HF,1903.2,dynamic_river,BC,1
HF,1903.2,dynamic_river,BE,6
HF,1903.2,dynamic_river,BI,139
HF,1903.2,dynamic_river,BW,42
HF,1903.2,dynamic_river,LTA,1
HF,1903.2,dynamic_river,RM,184
HF,1903.2,dynamic_river,RO,48
HF,1903.2,dynamic_river,SU,1
HF,1903.3,dynamic_river,BI,193
HF,1903.3,dynamic_river,HF14,2
HF,1903.3,dynamic_river,HF17,9
HF,1903.3,dynamic_river,RM,103
HF,1903.4,upland,LTA,69
HF,1903.4,upland,RM,44
HF,1903.4,upland,RO,299
HF,1903.4,upland,WO,1
LS,1901.1,dynamic_trib,LS1,199
LS,1901.1,dynamic_trib,LS10,2
LS,1901.1,dynamic_trib,LS11,1
LS,1901.1,dynamic_trib,LS12,1
LS,1901.1,dynamic_trib,LS13,1
LS,1901.1,dynamic_trib,LS14,1
LS,1901.1,dynamic_trib,LS15,1
LS,1901.1,dynamic_trib,LS2,147
LS,1901.1,dynamic_trib,LS3,1
LS,1901.1,dynamic_trib,LS4,1
LS,1901.1,dynamic_trib,LS5,5
LS,1901.1,dynamic_trib,LS6,8
LS,1901.1,dynamic_trib,LS7,2
LS,1901.1,dynamic_trib,LS8,5
LS,1901.1,dynamic_trib,LS9,5
LS,1901.2,dynamic_trib,LS1,279
LS,1901.2,dynamic_trib,LS11,11
LS,1901.2,dynamic_trib,LS12,3
LS,1901.2,dynamic_trib,LS16,6
LS,1901.2,dynamic_trib,LS17,1
LS,1901.2,dynamic_trib,LS18,12
LS,1901.2,dynamic_trib,LS19,3
LS,1901.2,dynamic_trib,LS20,1
LS,1901.2,dynamic_trib,LS21,6
LS,1901.2,dynamic_trib,LS22,1
LS,1901.2,dynamic_trib,LS23,2
LS,1901.2,dynamic_trib,LS24,4
LS,1901.2,dynamic_trib,LS26,4
LS,1901.2,dynamic_trib,LS27,26
LS,1901.2,dynamic_trib,LS28,1
LS,1901.2,dynamic_trib,LS29,3
LS,1901.2,dynamic_trib,LS30,1
LS,1901.2,dynamic_trib,LS5,2
LS,1901.2,dynamic_trib,LS6,7
LS,1901.2,dynamic_trib,LS8,2
LS,1901.2,dynamic_trib,LS9,6
LS,1901.3,dynamic_trib,LS1,219
LS,1901.3,dynamic_trib,LS12,2
LS,1901.3,dynamic_trib,LS16,25
LS,1901.3,dynamic_trib,LS18,2
LS,1901.3,dynamic_trib,LS20,1
LS,1901.3,dynamic_trib,LS21,2
LS,1901.3,dynamic_trib,LS23,3
LS,1901.3,dynamic_trib,LS24,2
LS,1901.3,dynamic_trib,LS27,12
LS,1901.3,dynamic_trib,LS31,8
LS,1901.3,dynamic_trib,LS32,2
LS,1901.3,dynamic_trib,LS33,8
LS,1901.3,dynamic_trib,LS34,2
LS,1901.3,dynamic_trib,LS35,1
LS,1901.3,dynamic_trib,LS36,2
LS,1901.3,dynamic_trib,LS37,2
LS,1901.3,dynamic_trib,LS38,1
