Flora,Epoch,Latitude,Continent,Age,Age error,MAT,MAT.error,MAP,MAP.error,DepEnv,num.leaves,perc.dam,perc.spec,perc.mine,perc.gall,perc.HF,perc.mf,perc.skel,perc.sf,perc.pierce,raw.dt,raw.ffg,div.dt,div.spec,div.mine,div.gall,Shannon,Pj,div.plant
Bernasso,Pleistocene,Mid-N,Eurasia,2.06,0.1,16.3,1.5,1120,100,lacustrine,535,34.6,17.76,1.68,11.78,9.72,7.1,7.66,0.93,0,40,6,32.35,17.03,3,5.57,2.39,0.8,19.21
Willershausen,Pliocene,Mid-N,Eurasia,2.8,0.4,14.6,1,1024,127,lacustrine,7491,50.97,11.08,1.67,6.93,27.27,9.89,11.21,1.63,1.13,83,7,28.36,13.46,3,4.86,4.07,0.76,83.55
Berga,Pliocene,Mid-N,Eurasia,2.8,0.2,15.1,1.5,1097,200,lacustrine,534,25.1,8.43,0.19,6.18,12.73,1.87,2.62,2.06,0.94,25,7,19.8,7.74,0.56,4.41,2.63,0.75,28.76
Hindon Maar,Miocene,Mid-S,New Zealand,18.8,3.3,,NA,,NA,lacustrine,459,71.81,30.28,4.36,16.34,41.39,30.94,1.53,20.04,4.79,76,7,61.85,37.066,11.815,14.49,2.628,0.80649,23.564
Hreðavatn-StafholtFm,Miocene,High-N,Iceland,6.5,0.5,4.65,1.25,,NA,fluvial,626,25.39936,3.19,0.16,1.44,17.73,8.31,1.6,0.16,0.16,23,7,,,,,1.91,0.63,
Skarðsströnd-MókollsdalurFm,Miocene,High-N,Iceland,8.5,0.5,6.65,0.7,,NA,lacustrine,485,18.3505,2.06,0.41,1.03,10.1,7.84,0.62,0.21,0,20,6,,,,,1.85,0.58,
Tröllatunga-GautshamarFm.,Miocene,High-N,Iceland,10,,6.4,1,,NA,mixed,921,6.19,1.52,0.65,0.22,4.34,0.65,0.43,0.33,0,18,6,,,,,2.39,0.71,
Brjánslækur-Seljá Fm,Miocene,High-N,Iceland,12,,10.9,1.6,,NA,mixed,1390,21.01,3.81,1.73,0.79,16.62,1.65,1.15,0.22,0,28,6,,,,,2.55,0.71,
"Delta Sandy Horizon, Most Basin",Miocene,Mid-N,Eurasia,19.55,1.25,16.5,1.7,,NA,coastal,2215,25.01,4.51,0.99,1.99,14.4,8.89,2.84,0.41,0,53,6,22.26,10.04,2.54,5.25,3.88,0.89,60.74
"Lake Clayey Horizon, Most Basin",Miocene,Mid-N,Eurasia,19.55,1.25,16.5,1.7,,NA,lacustrine,1226,17.29,7.42,0.49,6.53,4.32,6.77,0.65,0.08,0.07,32,7,15.88,7.59,1.3,4.99,2.63,0.69,31.8
Mush,Miocene,Low,Africa,21.73,0.12,NA,NA,1647," +216, -126",lacustrine,2200,31.6,7.090909,0.409,2.545454,9.6364,7.2273,0.6364,15.545,1.6364,36,7,21.41,8.88,1.12,3.27,2.05,0.36,28.33
Rott,Oligocene,Mid-N,Eurasia,23.08,0.05,17.5,1.2,1062,219,Lacustrine,2326,17.76,3.31,0.82,1.25,5.76,9.54,1.55,1.46,0,51,6,19.77,8.02,2.26,2.48,3.46,0.75,54.49
Enspel,Oligocene,Mid-N,Eurasia,24.905,0.11,16,1,1127.5,227,lacustrine,830,34.3,5.78,0.12,2.65,22.65,6.14,4.46,0.12,0,24,6,18.63,7.82,0.36,1.98,2.72,0.71,38.14
LV3,Oligocene,Mid-N,Eurasia,25.4,2.4,,NA,,NA,fluvial,394,38.83,18.27,0,17.51,22.59,2.79,0.254,0.254,0,19,5,17.4,8.4,0,6.69,1.09,0.42,11.87
Quegstein,Oligocene,Mid-N,Eurasia,26.63,0.05,16.8,1.2,,NA,fluvial,313,14.7,1.6,0,0.319,8.31,6.71,0.63,0.64,0,12,5,11.84,2.96,0,0.96,2.219,0.619,35.38
Chilga,Oligocene,Low,Africa,27.23,0.3,26.5,2.5,1413," +359, -287",fluvial,1063,26.81,10.63,0.659,8.278,7.056,8.561,0.282,3.481,1.6,40,7,25.17,12.68,1.9,6.97,3.02,0.71,44.63
Markam Basin MK-1,Oligocene,Mid-N,Eurasia,33.4,0.6,10.4,2.8,795.8,438,fluvial,415,25.301205,1.927711,0,0.4819277,17.3494,5.0602,4.337349,0.7,0,16,5,14.58,3.6986,0,0.92466,2.40209,0.77,21.95
Florissant,Eocene,Mid-N,North America,34.07,0.1,14.15,3.35,740," +608,-334",lacustrine,621,23.2,NA,0,9,53,2.002816053,4,0.786357099,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markam Basin MK-3,Eocene,Mid-N,Eurasia,34.6,0.8,15.7,2.4,1545.1,649.9,fluvial,2168,39.1125,4.2543,0.09149,2.333,34.172,8.463,2.0128,1.601,0.1372,40,7,20.62,6.3315,0.2746,3.5379,1.4656,0.38,22.32
