Site,Geographic location,Epoch,Lat,Long
Bernasso,southern France,Pleistocene,43.72611111,3.26
Willerhausen,"Lower-Saxony, Germany",Pliocene,51.76666667,10.1
Berga,"Thuringen, Germany",Pliocene,51.46222222,10.97
HreíÁavatn-StafholtFm,Iceland,Miocene,64.58333333,-21.7
SkaríÁsstrí_nd-Mí_kollsdalur Fm,Iceland,Miocene,65.55,-23.13
Trí_llatunga-Gautshamar Fm.,Iceland,Miocene,65.51666667,-21.35
Brjíçnslí_kur-Seljíç Fm,Iceland,Miocene,65.6,-23.13
"Delta Sandy Horizon, Bí_lina Mine","Most Basin, Czech Republic",Miocene,50.57138889,13.74
"Lake Clayey Horizon, Bí_lina Mine & BÅ»eÅçÅ«any","Most Basin, Czech Republic",Miocene,50.57138889,13.74
Mush,Ethiopia,Miocene,9.7833333,39.65
Hinden Maar,"Otago region, New Zealand",Miocene,-45.76722222,170.27
Enspel,"Westerwald, Germany",Oligocene,50.61666667,7.88
LV3,"Huesca, Spain",Oligocene,42.036041,0.12844
Rott,"Lower Rhine Basin, Germany",Oligocene,50.75,7.27
Quegstein,"Lower Rhine Basin, Germany",Oligocene,50.75,7.27
Bull's Bellow,Ethiopia,Oligocene,12.509,37.18
Guang River,Ethiopia,Oligocene,12.509,37.2
"Markum Basin, MK1",China,Oligocene,29.75,98.42
Aspelintoppen,Svalbard,Oligocene,77.553604,17.95
Renardodden,Svalbard,Oligocene,77.553604,17.95
"Markum Basin, MK3",Chinga,Eocene,29.75,98.42
Florissant,Colorado,Eocene,38.94083333,-105.29
Bonanza,Uinta Basin,Eocene,40.0358,-109.21178
Rio Pichileufu,Argentina,Eocene,-40.60063,-70.65983
Kissinger Lakes (WRE),"Wind River Basin, Wyoming",Eocene,43.7111111,-110.09
Republic,NE Washington,Eocene,48.6485769,-118.73274
Laguna del Hunco,"Chubut, Argentina",Eocene,-42.083333,-70
Wind River WRI,"Wind River Basin, Wyoming",Eocene,43.2533333,-108.13
Fifteenmile Creek,Bighorn Basin,Eocene,44.178,-105.56
PN,Bighorn Basin,Eocene,44.27012,-108.35
Sourdough,"Great Divide Basin, SW WY",Eocene,41.90911,-108
Cool Period,Bighorn Basin,Eocene,44.2616,-108.13
South Fork Elk Creek,Bighorn Basin,Eocene,44.28,-108.05
Hubble Bubble,Bighorn Basin,Eocene,43.94508,-107.62
Dead Platypus,Bighorn Basin,Eocene,44.83843,-109.07
Chickaloon,south-central Alaska,Eocene,61.6833333,-148.95
Parachute Creek (Gr River),Colorado,Eocene,39.449891,-108.06
Profen Sud LC,Germany,Eocene,51.13946111,12.1908333
Daiye Spa,Bighorn Basin,Paleocene,44.83843,-109.07
Clarkforkian,"Washakie Basin, SW WY",Paleocene,41.56576,-108.58
Lur'd Leaves,Bighorn Basin,Paleocene,44.87568,-108.87
Cerrejon,Colombia,Paleocene,11.08694444,-72.67
Skeleton Coast,Bighorn Basin,Paleocene,44.84884,-108.75
Persites Paradise,"Great Divide Basin, SW WY",Paleocene,41.70833,-108.62
Kevin's Jerky,"Washakie Basin, SW WY",Paleocene,41.58254,-108.62
Haz-Mat,"Washakie Basin, SW WY",Paleocene,41.5536,-108.63
Castle Rock lower layer,"Denver Basin, CO",Paleocene,39.38333,-104.86
Mexican Hat,"Powder River Basin, SE MT",Paleocene,46.43139,-105.24
Pyramid Butte,"Williston Basin, SW ND",Paleocene,46.41856,-103.98
Firkanten,Svalbard,Paleocene,77.553604,17.95
Menat,France,Paleocene,46.1,2.9
Battleship,"Williston Basin, SW ND",Cretaceous,46.3219,-103.87
Dean Street,"Williston Basin, SW ND",Cretaceous,46.01857,-103.77
Somebody's Garden+,"Williston Basin, SW ND",Cretaceous,46.29968,-103.89
Luten's 4H Hadrosaur+,"Williston Basin, SW ND",Cretaceous,46.31528,-103.96
Dakota,Kansas & Nebraska,Cretaceous,39.133333,-105.033333
King George Island,Antarctica,Eocene,-62.015,-58.041
Seymour Island,Antarctica,Paleocene,-62,-56.65
HF1901.1,,Anthropocene,42.536367,-72.177433
HF1901.2,,Anthropocene,42.539317,-72.180067
HF1901.3,,Anthropocene,42.538267,-72.181883
HF1902.1,,Anthropocene,42.532467,-72.188183
HF1902.2,,Anthropocene,42.5312,-72.188583
HF1902.3,,Anthropocene,42.5336,-72.18805
HF1903.1,,Anthropocene,42.4725,-72.161733
HF1903.2,,Anthropocene,42.471283,-72.161933
HF1903.3,,Anthropocene,42.475337,-72.1612
HF1903.4,,Anthropocene,42.470617,-72.162383
MD1901.1,,Anthropocene,38.874717,-76.552767
MD1901.2,,Anthropocene,38.873,-76.553233
MD1901.3,,Anthropocene,38.874667,-76.5511
MD1902.1,,Anthropocene,38.887767,-76.5638
MD1902.2,,Anthropocene,38.886833,-76.563267
MD1902.3,,Anthropocene,38.888283,-76.559083
MD1903.1,,Anthropocene,38.87625,-76.548583
MD1903.2,,Anthropocene,38.8763,-76.546483
MD1903.3,,Anthropocene,38.878283,-76.54545
LS1901.1,,Anthropocene,10.430317,-82.0041
LS1901.2,,Anthropocene,10.430067,-82.004033
LS1901.3,,Anthropocene,10.42955,-84.003833
LS1902.1,,Anthropocene,10.4291,-84.0063
LS1902.2,,Anthropocene,10.4296,-84.0062
LS1902.3,,Anthropocene,10.429817,-84.00605
LS1903.1,,Anthropocene,10.415433,-84.005067
LS1903.2,,Anthropocene,10.41385,-84.0059
